symbol	globalScore
MECOM	0.05755426
PHEX	0.057332258
CD86	0.057260134
FBXO11	0.056882446
RAB27A	0.056826598
MINK1	0.056819207
BARHL1	0.056599307
HPN	0.056557115
PLEK	0.056449627
TBX10	0.056304951
PRKRA	0.055501408
RAB24	0.055487151
FGF20	0.055190169
PAX3	0.055105857
INPP5D	0.055089573
MEN1	0.054930448
RXRG	0.054782907
RANBP10	0.054719993
KCNA10	0.0546701
MFAP2	0.054106491
LMO4	0.054044024
SLC4A7	0.053980834
AP3D1	0.053943876
ANKRD6	0.053751694
AQP4	0.053746561
GRM5	0.053618645
WDR45	0.053223195
CHEK2	0.053215466
STIM1	0.053117865
LAMA2	0.052832163
MYO3B	0.052594909
IQGAP2	0.052474796
BAK1	0.052235082
CYP26A1	0.052124326
WDR1	0.052009125
THPO	0.05174118
NRP1	0.051504649
GATA1	0.051397881
RGS18	0.051310619
ADAMTS13	0.050397757
HMGCS1	0.050395909
FUCA1	0.050395909
USP39	0.050395909
STRADB	0.050395909
DEFB131B	0.050395909
DEFB131A	0.050395909
TRAPPC11	0.050395909
TBL1XR1	0.050395909
UNKL	0.050395909
CBLN3	0.050395909
GTF2H3	0.050395909
CCDC166	0.050395909
HSFY2	0.050395909
HSFY1	0.050395909
THOC3	0.050395909
ACTL6B	0.050395909
PHF3	0.050395909
FBXL8	0.050395909
USP43	0.050395909
EFCAB7	0.050395909
DENND6B	0.050395909
TASOR	0.050395909
DNAJC17	0.050395909
RCAN3	0.050395909
MSANTD3	0.050395909
BTBD10	0.050395909
ELMO3	0.050395909
PLOD3	0.050395909
MREG	0.050395909
LMAN2	0.050395909
XPNPEP3	0.050395909
PCP4L1	0.050395909
DEPDC1	0.050395909
TMEM62	0.050395909
MYO18B	0.050395909
ANKRD24	0.050395909
EPN3	0.050395909
ZNF569	0.050395909
TMEM131L	0.050395909
EIF1B	0.050395909
PRKCQ	0.050366343
VASP	0.050329385
CD40LG	0.049916253
RASGRP2	0.049878497
NOX3	0.049868082
CHRNA3	0.049790777
RB1	0.049723274
ZFPM1	0.049715266
RAB27B	0.049693707
CAPN1	0.049457176
PICK1	0.049368488
GPNMB	0.049176295
POU1F1	0.049165978
AP3B2	0.04916336
ASIC3	0.04916336
NTNG2	0.04916336
FOXC2	0.048947156
IL1B	0.048800823
OTOP1	0.048776328
STX8	0.048747583
SVIL	0.048718016
FGA	0.04869769
FGG	0.048658884
F2RL2	0.04854801
RUNX1	0.048510436
TGIF1	0.048499964
MCRS1	0.048275887
CD47	0.048267129
MAGIX	0.048250498
CUBN	0.048052773
DUSP6	0.048024233
ERCC1	0.047938203
TREH	0.047900128
CRYGD	0.047860591
GFI1	0.047820964
EMILIN1	0.047749717
CRLF3	0.04770352
TNF	0.047699711
PF4V1	0.047685041
PF4	0.047685041
COMT	0.047675801
MIF	0.047387529
MBP	0.047374594
PMP22	0.04706969
MPIG6B	0.0468849
SERPINB2	0.046871965
PDE6B	0.046833159
PTGS1	0.046829463
PIK3C2A	0.046796201
BLOC1S5	0.046746308
BLOC1S5-TXNDC5	0.046746308
PRELID1	0.046395575
ANO6	0.046367489
GDAP2	0.046309321
UCN	0.04589997
PTGS2	0.045812708
TUBA4A	0.045717028
SCUBE1	0.04563572
GOT2	0.045633798
LYL1	0.045450931
UNC13D	0.045243966
OR4A16	0.045186814
ATP8A2	0.04469514
GSDMA	0.044636007
JAK2	0.044597201
SCRIB	0.044412206
CHRAC1	0.044275667
CYP1B1	0.0442461
GABARAP	0.044195097
GP6	0.044157401
PROCR	0.043883912
PLD1	0.043859889
TUT7	0.043752343
RABGGTA	0.043721297
F11	0.043684339
TBXA2R	0.043676947
WAS	0.04364656
PIK3CB	0.0433665
COBL	0.043159535
NASP	0.042981072
CYP3A7	0.042893438
CYP3A7-CYP3A51P	0.042893438
CYP3A43	0.042893438
IL1R1	0.042822499
FREM2	0.042686473
AGBL4	0.04267169
ARHGEF3	0.042582991
NAGLU	0.0424869
ITPR1	0.042339068
AP3B1	0.042313198
SEC14L2	0.042239513
MIR142	0.04211732
GTF2H5	0.041995268
LAT	0.041799482
SEPTIN5	0.041769915
DTNBP1	0.041629475
OSM	0.041607301
VAMP8	0.041577734
BHLHA15	0.041531536
PTEN	0.041400335
ABCG5	0.041385552
SLC19A2	0.04127899
CATIP	0.041245112
HLA-DRB1	0.041149432
ZNF597	0.041149021
TSSK4	0.041149021
HOXB2	0.041121303
LTBP2	0.041008581
LYPD2	0.040801616
CHGA	0.040670415
NKX2-1	0.040631609
GPX3	0.040576172
NOTCH1	0.040284204
EGFR	0.040257102
ANKRD12	0.040197025
SLC24A1	0.040092023
TREML1	0.04003289
NSG1	0.040018107
GAS6	0.03998854
FAAP100	0.039902463
PPP3CC	0.039862883
ATG4B	0.039807446
RTN1	0.039774242
HPS3	0.039722443
SRSF9	0.039596786
MERTK	0.039515478
IGF1	0.039378625
BIN2	0.039315905
PHF23	0.039252994
SLFN14	0.039234597
LGI4	0.039187753
PTPRN2	0.038990675
BRCC3	0.038953717
LCP2	0.038887192
CREB5	0.038878595
FOXO3	0.038877747
NF1	0.03873936
FBXO43	0.038650661
FCER1G	0.038635878
CCDC157	0.038567153
LMO2	0.038547179
GAPDH	0.038436305
VGF	0.038369781
AGTPBP1	0.038288473
HLA-DRB4	0.038244123
HLA-DRB5	0.038244123
RAPGEF4	0.038162816
LRRC9	0.038123306
HSPA1A	0.038066725
PLD3	0.038059333
FUNDC2	0.038059333
CLEC4G	0.038029767
TCF25	0.037985122
KCNIP4	0.037933676
CHURC1-FNTB	0.037933676
RHOF	0.037933676
FSBP	0.037933676
FNTB	0.037933676
KCTD2	0.037933676
STK33	0.037852369
ANXA7	0.037844977
TENT5C	0.037652796
HSF4	0.037593663
NUP62	0.03750486
IL4I1	0.03750486
IKZF3	0.037438439
ZNF276	0.037432462
FOXF2	0.03739409
MSN	0.037261041
OR4A15	0.037260374
LEO1	0.037192707
GNA11	0.037150167
ERG	0.037135384
GNAQ	0.037113209
PEAR1	0.037113209
TEC	0.037113209
TSHR	0.037068859
CAVIN3	0.037061468
JMJD1C	0.036832328
NRG1	0.036832328
MTMR1	0.036824937
TCEAL9	0.036824937
SULT1E1	0.036773196
FBXL20	0.036721454
NTN4	0.036588406
HNRNPH1	0.036573622
CEACAM21	0.036566231
CEACAM7	0.036566231
AMPD1	0.036492315
C2CD4A	0.036403616
CTSZ	0.036403616
PPP2R3C	0.036403616
ARNT	0.036403616
RNF114	0.036403616
C2CD4A	0.036403616
CPT1A	0.036403616
BIRC7	0.036403616
CNGA2	0.036403616
EDEM1	0.036403616
GEMIN5	0.036403616
GRN	0.036403616
CTSZ	0.036403616
HERC6	0.036307525
ASPA	0.036300133
BCAR3	0.036255784
CES2	0.036218826
SLC4A1	0.036196651
SGCZ	0.036156464
PIK3CD	0.036115343
FBN1	0.036085777
CRPPA	0.036085777
ETAA1	0.036078385
FOXP3	0.036078385
GP9	0.036026644
GPR17	0.035967511
CCL2	0.035921109
HBA2	0.035908379
SF3B1	0.03573098
TSPAN33	0.035723589
EMILIN2	0.035597932
NT5E	0.035568365
HBA1	0.035538799
DNM1	0.035464883
CIB3	0.0354501
RHOBTB1	0.035383575
OCIAD1	0.035331834
OR2L13	0.035324443
BCL2L10	0.035211062
SNX29P2	0.035198785
TESK2	0.035198785
DLEC1	0.035198785
ARHGAP29	0.035198785
MS4A4E	0.035198785
NLK	0.035198785
ZNF445	0.035198785
CCDC88C	0.035198785
DZIP1L	0.035198785
MS4A4A	0.035198785
EIF4B	0.035198785
MYO1D	0.035198785
RPAIN	0.035198785
MAZ	0.035198785
ACAD11	0.035198785
UBE2W	0.035198785
IST1	0.035198785
SNX29	0.035198785
HNF4G	0.035198785
SELENOK	0.035198785
PPOX	0.035198785
EFHB	0.035198785
FBXO33	0.035198785
TRIM35	0.035198785
C2CD2L	0.035198785
RCOR3	0.035198785
ETNPPL	0.035198785
PIP4K2C	0.035198785
SNX29P1	0.035198785
DPP4	0.035198785
DCTD	0.035198785
KLC2	0.035198785
FADS3	0.035198785
ECT2	0.035198785
GPR108	0.035198785
AVPI1	0.035198785
SCMH1	0.035198785
BLVRB	0.035198785
GPR152	0.035198785
CES1	0.035198785
PLSCR5	0.035198785
ORAI1	0.035110086
ATG5	0.035105312
MYB	0.035102695
SLC1A3	0.035002908
ZSWIM1	0.034969646
GJA1	0.034935214
LGALS1	0.034891586
ITPRID1	0.034821814
ETHE1	0.034821814
UQCRQ	0.034821814
VTN	0.034814422
MGST3	0.034788124
SLC7A11	0.034452234
USP6	0.034430059
USP32	0.034430059
LYN	0.034415276
ABCA1	0.03434136
PTPN18	0.03434136
ITGB1	0.03434136
ADAM17	0.03434136
IL17RD	0.03434136
VAMP3	0.03434136
LRRC4	0.03434136
SLPI	0.03434136
ARHGAP21	0.034326577
LCA5L	0.034178745
ENTPD1	0.034163962
TG	0.034149179
BABAM1	0.034082654
STRA6LP	0.033986563
PRKAB2	0.033956997
ATP1A3	0.033940126
USP16	0.033890473
GRIN1	0.033842427
PPP2R2B	0.03383134
BRIP1	0.03383134
WASHC5	0.03383134
TMEM165	0.033705683
ALOX12	0.033705683
RTRAF	0.033630104
UBE2E1	0.033624375
NSUN5P2	0.033616984
OVOL1	0.033616984
NSUN5P1	0.033616984
NSUN5	0.033616984
SPDL1	0.033576758
FBXO36	0.033543068
SOD2	0.033532686
PIK3CG	0.033520893
GALNT3	0.03350611
SLC13A2	0.033374953
FYB1	0.033350886
SPSB2	0.033195663
ZNF496	0.033195663
ADAL	0.033195663
AQP12A	0.033195663
SRCAP	0.033195663
LAMC3	0.033195663
ANKRD44	0.033195663
AQP12B	0.033195663
RAP1BL	0.033143921
PRKAB1	0.033143921
RAP1B	0.033143921
HPRT1	0.033055222
BPNT1	0.032944348
RNASEH2A	0.032833474
PAUPAR	0.032737384
GJA8	0.032641293
LARP4B	0.032641293
FANCD2	0.032633901
CTSG	0.032611726
CD59	0.032604335
BAIAP2	0.032589552
AIF1	0.032530419
IFNG	0.032515636
IMPG1	0.03251445
ADD1	0.032471286
THUMPD3-AS1	0.032463894
PGM3	0.032419545
NFE2	0.032234755
NPAS2	0.032175622
SP6	0.032175622
AHSG	0.032094315
LIMD1	0.032020399
DUOX2	0.031998224
COASY	0.031976049
GSTM1	0.031964839
GTF2E2	0.031850392
CISD1	0.031850392
RASGRP4	0.031850392
CAPZA2	0.031850392
SHMT1	0.031850392
BATF3	0.031850392
DNPEP	0.031850392
CLEC1B	0.031813434
PDZD8	0.031813434
BCL3	0.031813434
LCN2	0.031739518
GGNBP2	0.031695168
UBE2Z	0.031606469
KNSTRN	0.031591686
SEC23B	0.031554728
CPA1	0.031451246
RAD50	0.031443854
RPL38	0.031406896
ERBB4	0.031236889
SLC5A5	0.031229498
HPS4	0.031155582
CMAHP	0.031140799
CTRB1	0.031111232
CTRB2	0.031111232
SMAP1	0.031037316
NTRK3	0.031029925
FGFR2	0.030948617
SERPIND1	0.030904267
ITFG2	0.030859918
KCNV1	0.030859918
ZFP36L2	0.030837743
GSTT1	0.030817785
ARID4A	0.030741652
ZCCHC17	0.030623387
RXFP4	0.030601212
PDC	0.030564254
LCP1	0.030534688
PSMC2	0.03047897
OTP	0.030468163
IL18RAP	0.030468163
FGF7	0.030431205
VPS33A	0.030431205
ROBO1	0.030416422
EPHX1	0.030364681
STK26	0.030342506
EMCN	0.030320331
ANKRD54	0.030133521
IREB2	0.029029147
GRM7	0.028178688
GNG2	0.027935897
CPVL	0.027823212
BCL2	0.027519394
DLK2	0.027403789
PSTPIP2	0.027235225
H1-0	0.02719948
ZNF485	0.026793063
STK24	0.026754683
MAPKAP1	0.026423658
CASP7	0.026193972
ATF5	0.026129277
NFKB1	0.026104847
TGFB1	0.025856628
UNC119	0.025688807
DNAJC2	0.025528391
OR4C15	0.025491264
DNMT3A	0.025480478
GOLGB1	0.025322393
PSMA6	0.025278602
GCAT	0.025218862
HOTAIR	0.02476185
ISCA1	0.024700837
FAM83B	0.024294182
TCF4	0.024002828
TSKS	0.023892071
C9orf153	0.023666073
RIC3	0.023039997
SLC2A4	0.022635015
SLC25A26	0.02205621
SLC10A5	0.021974249
APEX1	0.021620421
VEGFA	0.021530696
GRPEL2	0.021405811
ELOA3CP	0.021289409
ELOA2	0.021289409
ELOA3DP	0.021289409
ARK2C	0.021289409
ELOA3BP	0.021289409
ST8SIA5	0.021289409
KATNAL2	0.021289409
PRPF40B	0.020519942
TIMM13	0.020195428
TRPV1	0.020142102
NFATC4	0.019957312
MMP14	0.019916248
OR4A5	0.019831395
PRSS35	0.019830984
CAPNS2	0.019555493
SPIB	0.019495443
ARK2N	0.019371527
NAT2	0.019218152
SERPINE1	0.019218152
NR3C2	0.019033363
ADORA2B	0.018848573
CCDC167	0.018836642
UCHL3	0.018814516
C10orf90	0.018748365
ADAM12	0.018748365
FANK1	0.018748365
